[4848/7000 7.64%] Fetching | 200 | downloading | scanning | none
[4849/7000 7.68%] Fetching | 200 | downloading | scanning | none
[4850/7000 7.73%] Fetching | 200 | downloading | scanning | Invalid PDF structure
[4851/7000 7.77%] Fetching | 200 | downloading | scanning | none
[4852/7000 7.81%] Fetching | 200 | downloading | scanning | test 2021
[4853/7000 7.85%] Fetching | 200 | downloading | scanning | none
[4854/7000 7.90%] Fetching | 404 | skipping
[4855/7000 7.94%] Fetching | 200 | downloading | scanning | Invalid PDF structure
[4856/7000 7.98%] Fetching | 200 | downloading | scanning | Invalid PDF structure
[4857/7000 8.03%] Fetching | 200 | downloading | scanning | Invalid PDF structure
[4858/7000 8.07%] Fetching | 200 | downloading | scanning | none
[4859/7000 8.11%] Fetching | 200 | downloading | scanning | none
[4860/7000 8.15%] Fetching | 200 | downloading | scanning | none
[4861/7000 8.20%] Fetching | 200 | downloading | scanning | none
[4862/7000 8.24%] Fetching | 200 | downloading | scanning | none
[4863/7000 8.28%] Fetching | 200 | downloading | scanning | none
[4864/7000 8.33%] Fetching | 200 | downloading | scanning | none
[4865/7000 8.37%] Fetching | 200 | downloading | scanning | none
[4866/7000 8.41%] Fetching | 200 | downloading | scanning | Invalid PDF structure
[4867/7000 8.45%] Fetching | 200 | downloading | scanning | none
[4868/7000 8.50%] Fetching | 404 | skipping
[4869/7000 8.54%] Fetching | 200 | downloading | scanning | none
[4870/7000 8.58%] Fetching | 200 | downloading | scanning | none
[4871/7000 8.63%] Fetching | 404 | skipping
[4872/7000 8.67%] Fetching | 200 | downloading | scanning | none
[4873/7000 8.71%] Fetching | 200 | downloading | scanning | test 2607
[4874/7000 8.76%] Fetching | 200 | downloading | scanning | test 2012
[4875/7000 8.80%] Fetching | 200 | downloading | scanning | test 2016
[4876/7000 8.84%] Fetching | 200 | downloading | scanning | test 2015
[4877/7000 8.88%] Fetching | 200 | downloading | scanning | test 2013
[4878/7000 8.93%] Fetching | 200 | downloading | scanning | none
[4879/7000 8.97%] Fetching | 403 | Error: File is protected | status: 403 | error: 2190

